SRA_accession_code	GEO_accession_code	pubmed_id	pmcid
SRP077748	GSE83978	27533016	
SRP013389	GSE38234	23019147	PMC3483545
SRP021098	GSE46096	25963149	PMC4741349
SRP071924	GSE79327	27532666	PMC4988716
ERP104537			
SRP095009	GSE92312	29228896	PMC5725879
SRP064353	GSE73628	29093439	PMC5666005
SRP034747	GSE53252	26471296	
ERP104864			
SRP117267	GSE103706	30068296	PMC6090850
ERP115010			
SRP011185	GSE36200	22936248	PMC3530677
SRP002459	GSE21825	19820189	PMC2782299
SRP080325	GSE84989	27561422	PMC5000506
SRP066917	GSE75627	26751173	
SRP121049			
SRP062719	GSE72273	28536623	PMC5415789
SRP064747	GSE73966	27879268	PMC5243171
SRP057508	GSE68102	25953818	PMC4836442
ERP004151			
SRP076238	GSE83084	27330745	PMC4915096
SRP133949	GSE111423	30365065	PMC6257835
SRP049090	GSE62540	25104390	
SRP064624	GSE73866	26884396	PMC4760318
SRP008339	GSE32253		
SRP008225	GSE30995	21924763	
SRP039085			
SRP042031	GSE57723	25057003	PMC4135020
DRP004544		30290334	
SRP095371	GSE92590	28122230	PMC5291126
ERP022901			
SRP132970	GSE110635	29954933	PMC6269303
SRP070777	GSE78275		
SRP091581	GSE88778	28380380	PMC8586897
SRP034528	GSE53370		
SRP056049	GSE66763	25972006	PMC4497538
SRP012546	GSE37616	22745662	PMC3380046
SRP071203	GSE78936	27661005	PMC5342065
SRP041377	GSE56930	24936470	PMC4050346
SRP045432	GSE60321	26769123	
SRP008496	GSE32424	22991305	
SRP007825	GSE31037	21807764	PMC3177648
SRP014133	GSE39146	22795694	PMC3604743
SRP182916	GSE125887	31653482	
SRP014157	GSE39187	23089734	PMC3538299
SRP014146	GSE39170	22931923	PMC3547222
SRP181726			
SRP014027	GSE39121	23707782	PMC3697763
SRP058128	GSE68673	27094326	PMC4850254
SRP093643	GSE90055	28082324	PMC5345717
SRP041709	GSE57349		
SRP065931	GSE74791		
SRP173653			
SRP013999	GSE38993	23181609	PMC3580499
SRP009068	GSE33155	22029708	PMC3217893
SRP005242		21390249	PMC3046973
SRP123156			
SRP066118	GSE74958	27422173	PMC4947293
SRP071689			
SRP058698	GSE69206	26133928	
SRP008837			
SRP058783	GSE69308	26565589	PMC4629278
SRP002347		20507594	PMC2898074
SRP014428	GSE38495	22820318	PMC3467340
SRP064316	GSE73570	26485708	PMC4617279
SRP091708			
SRP026333	GSE48240	24000294	PMC4612639
SRP033466	GSE52934	25105596	PMC4126661
SRP077731			
SRP178193			
SRP105620			
SRP027530	GSE48953		
SRP127668	GSE108603	29321173	PMC5844326
ERP022128			
SRP076382	GSE83219		
SRP053050	GSE65523	29593326	
SRP164720	GSE121008	30266827	
SRP028705	GSE49712	24020486	PMC4054597
SRP035312	GSE53983	24497530	PMC3962165
SRP055916	GSE66590	26385698	PMC4575490
ERP107980			
SRP028291	GSE49279	24747642	
SRP028336	GSE49379	24866127	PMC4035273
SRP131322	GSE103325		
SRP114532			
SRP026208	GSE48166		
SRP093315	GSE89831	29059365	PMC5758878
SRP120018	GSE105019	30361550	PMC6318298
SRP056438			
SRP064403	GSE73643	26483493	PMC4640745
SRP189540		31181567	
SRP029889	GSE50782		
SRP182682	GSE125765	32027689	PMC7004331
SRP083865	GSE86272	28369468	
GSE70099	E-GEOD-70099		
SRP075504			
SRP158689			
SRP089860	GSE86909	30590051	
SRP028738	GSE49816	24973947	
SRP068468	GSE76878	28542170	PMC5466333
SRP148427	GSE114632		
SRP065609			
SRP071235	GSE78960		
SRP095842	GSE93027	30774978	PMC6370818
SRP092472	GSE89454	27838456	
SRP056791	GSE67513		
SRP041988	GSE57662	29217753	PMC5825863
ERP009549			
SRP059022		27580624	
SRP087641			
SRP048326	GSE61857	26149852	PMC4492100
SRP092165			
SRP180303	GSE125355		
SRP105213	GSE98199	28700604	PMC5507495
SRP033646	GSE53172	25362856	
SRP019272	GSE45159	23562819	PMC3699064
SRP144520	GSE114027	30635567	PMC6329799
SRP094496	GSE90822	29249941	PMC5714881
SRP018242	GSE43801	23696454	PMC3749862
SRP059170	GSE69596	26826243	PMC4761490
ERP019993			
SRP094571			
SRP175361			
SRP103807	GSE97651	28459441	
SRP028902	GSE49994	24261934	
SRP040799			
SRP068196	GSE76636		
DRP002726			
SRP044715			
SRP070663		26482195	PMC5388175
SRP041993	GSE57681	26095918	PMC4557300
SRP056235			
SRP173789	GSE124024	31142274	PMC6542064
SRP052620	GSE65112	25693838	PMC4973854
SRP199156			
ERP104860			
SRP027364	GSE48850	24135138	PMC3809792
SRP145462	GSE114343	30262552	PMC6241275
SRP061276	GSE71046	29025411	PMC5639751
SRP057022	GSE67722		
ERP017989			
SRP067004	GSE75711	30310934	
SRP152455			
SRP100426	GSE95120	29940860	PMC6019788
ERP109990			
SRP015926			
SRP051369	GSE64182	26392366	PMC4665002
SRP166974			
SRP032469		24683184	PMC6373496
SRP072957	GSE80003	27292639	PMC4917433
SRP091917	GSE89030	30610162	PMC6344249
SRP049553	GSE63015	25640179	
SRP094484	GSE90815	29632203	PMC5960280
SRP029367	GSE50499	25464849	PMC4268400
SRP006561	GSE28875	22981823	PMC3751405
SRP049710	GSE63183	26680004	PMC4816137
SRP029434	GSE50535	24670642	
SRP061881	GSE71595	26387944	
ERP020514			
SRP040721			
SRP087718	GSE86609		
SRP031476	GSE51403	24319002	PMC3904521
SRP001313	GSE16579	19703394	PMC2819821
SRP003227	GSE23415		
SRP058911	GSE69415	26646695	PMC4791222
SRP032928	GSE52249	24375627	PMC3927959
DRP000467			
SRP011187			
SRP064391	GSE73663	27221711	PMC4896643
SRP043085	GSE58375	25759020	PMC4357167
SRP081050	GSE85278		
SRP182724	GSE125688	31080134	PMC6814390
SRP098550	GSE94252	28732548	PMC5522596
SRP018104	GSE43666	23706177	PMC4053766
SRP055871			
SRP021221			
SRP165725	GSE121226	30559421	PMC6532069
SRP116035	GSE101825	28893947	PMC5675451
SRP017684	GSE43143	24098394	PMC3789755
SRP069760	GSE77661	27050392	PMC4823868
SRP020646	GSE45883	24278031	PMC3836709
SRP132315			
SRP067392	GSE76011	27475528	PMC5386322
SRP017263			
SRP044671	GSE59613	26136266	PMC4588875
SRP068213	GSE76656	27197205	PMC4937571
SRP006912	GSE29660	22266139	PMC3351834
ERP000573			
SRP070548	GSE78081		
SRP023538			
SRP050499	GSE63818	26046443	
SRP098762	GSE94442	28535078	
SRP064895			
SRP101886	GSE96616	30093551	PMC6141777
SRP082692	GSE86007	27936185	PMC5148157
SRP045869	GSE60889	25401475	PMC4348951
SRP067134	GSE75811	27130590	PMC4956150
SRP095766	GSE92999	28385453	PMC5600823
SRP090108	GSE87068	29022589	PMC5723435
SRP078500	GSE84405	28737768	PMC5541905
SRP168639	GSE122550	30911184	PMC6475597
SRP093283	GSE89689	29558367	PMC5983315
SRP045859	GSE60873	25254613	
SRP043621	GSE58871	25267526	PMC4317169
SRP094598	GSE90921	28916722	PMC5672046
ERP113438			
SRP033505	GSE52981		
SRP035641	GSE54322	25030175	PMC4610745
SRP069826	GSE77734	27001854	PMC4833272
SRP194623	GSE130643		
SRP090590			
SRP050374	GSE63733	25732829	
SRP044766	GSE59717	28135292	PMC5279776
SRP028118	GSE49074	25306246	PMC4318247
SRP113754	GSE101988	29861175	PMC6398937
ERP016321			
ERP110773			
SRP092058	GSE89171	27810956	PMC5127350
SRP032173	GSE51742	24736658	PMC3988052
SRP061560	GSE71325	27058665	PMC4826479
SRP046270	GSE61057	27895224	PMC5240740
SRP058640	GSE69175	26321202	PMC4839185
SRP162305	GSE120278	32600248	PMC7324992
SRP069723	GSE77624	27050099	PMC4829466
SRP014465			
